time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.996353380979353,3.01936503832537,10.999066510656096,3.9999862318858312,3.0004943592342705,0.0,-0.12150722196916225,0.6454663160351488,-0.031180356134263787,-0.0006924442478601247,0.02103215145389183,0.0,487.37730989179204,488.9463726215866,489.27623789998074,489.22469699848585
0.12000000000000001,4.986046970189928,3.0741981179685838,10.993432547170132,4.000020776505021,3.0018708725304855,0.0,-0.22187459341786453,1.1822545024885058,-0.15680010249446993,0.002998776984282773,0.026510808555302898,0.0,445.91643485879456,446.36373270248856,445.36862802624546,445.6703747759558
0.18,4.970353672916671,3.158001295462797,10.977427946777134,3.9999693046040736,3.0031685944550723,0.0,-0.3010890504916855,1.611213397978394,-0.37691629655802067,-0.00997413406493354,0.00943614018181037,0.0,399.1600601607584,397.59906137950315,399.54524683151,398.3609111993771
0.23999999999999996,4.948719122476359,3.2741373620110563,10.95386066552385,3.9988517882123737,3.003869928686898,0.0,-0.4199099737535195,2.259741365492029,-0.4091037001691134,-0.04793069507114913,0.01585143087344917,0.0,489.7851639469584,490.2618652729323,491.78783927153654,488.9685604289125
0.3,4.920538551717929,3.4261285193863027,10.925686411549242,3.9956659192113726,3.004792438559573,0.0,-0.519272396268775,2.806309748311238,-0.5303599600817406,-0.06621246691810714,0.0144052495385615,0.0,451.48320614298973,451.3664155620184,451.21107294055037,449.73094466082415
0.36000000000000004,4.886128474524365,3.6125090009169862,10.891622828662788,3.991526919949637,3.0065888566613808,0.0,-0.6274613853502538,3.4058560541439866,-0.6055000879314908,-0.07519414440930797,0.05028126963805183,0.0,472.6493571756705,475.4062671706151,472.9350061087137,472.239423543147
0.4200000000000001,4.845197437914319,3.8353170575564066,10.853457715466512,3.9868720591174966,3.009396485149967,0.0,-0.7364318919491122,4.020465474348009,-0.6671855482066927,-0.08283869314041645,0.038704505825043097,0.0,481.736308999615,480.8612752892999,480.3004205661208,479.7159968913247
0.48000000000000015,4.797956061376433,4.094101273784753,10.810793211018021,3.9815822138921533,3.0116176028543418,0.0,-0.8378941678049944,4.605073521130937,-0.7555558257158098,-0.10180306031867188,0.03341450759129855,0.0,470.1789359631286,469.7694786329176,471.7829192364015,470.3102346879136
0.5400000000000001,4.744432883811225,4.389378031186347,10.76408988558074,3.9749709170700562,3.01350510337209,0.0,-0.9458091610981729,5.2366278785797125,-0.8019295957789286,-0.13763795107169444,0.027227804330173157,0.0,491.81487891700493,491.356685350463,491.1279937128055,488.45257019602474
0.6000000000000002,4.685344682817812,4.7175845671253525,10.710110296306668,3.9664889805559724,3.0154101849374726,0.0,-1.0235521467931947,5.703270839311413,-0.9977905048269671,-0.15010671512549498,0.03953472014846076,0.0,423.8219899817346,424.87889268650423,425.4282734259624,424.33947657618285
0.6600000000000003,4.6215516459047015,5.074278869551037,10.644806390340074,3.9575943049697457,3.0181769311450477,0.0,-1.1025465063697182,6.186210567138659,-1.1794568312756657,-0.14476273454265162,0.05678459293360487,0.0,432.9819034853432,434.43206395313484,431.6532860635163,432.08271110762536
0.7200000000000003,4.553230546293764,5.459081987619453,10.567741497125018,3.9486315020697074,3.021372383594027,0.0,-1.1744567275929674,6.640463142407671,-1.3898491640273025,-0.1607245013858009,0.045061109144127746,0.0,421.79158791160773,420.77983652967873,420.60662532263257,419.1991777187246
0.7800000000000004,4.480698885626852,5.870918928680289,10.477757749510435,3.9395458340647966,3.0241478860596995,0.0,-1.242961759785919,7.087454749122832,-1.6100994720606725,-0.13739127451139033,0.04855067199946629,0.0,416.762805546183,417.0691394564037,416.8735366037066,418.8839537155752
0.8400000000000004,4.403192101906278,6.315236591510973,10.379970023171417,3.931935971036266,3.026682947731823,0.0,-1.3400703676325365,7.72241610491109,-1.6506039162160975,-0.11137094844840265,0.025055800394210417,0.0,498.6122177646697,496.89341644336565,497.3881670847937,499.27705764878505
0.9000000000000005,4.3202919528479935,6.7954296097941125,10.277433493248841,3.9258244686628956,3.027836665835215,0.0,-1.4229740343274557,8.283776928726418,-1.7684896853887364,-0.08756790104020966,0.0038157271810040005,0.0,470.09003816065564,468.44107001512066,469.0933081414777,470.92954968492785
0.9600000000000005,4.23218449427892,7.311017664940664,10.169321695849815,3.920654734110741,3.028465604688348,0.0,-1.5136959701003898,8.902088127028504,-1.8368718223705804,-0.08349124083265339,0.021275324119495717,0.0,493.03931873597816,494.32760215145834,493.66450569804357,493.95993988417143
1.0200000000000005,4.139151860198607,7.860783415231169,10.053877583822585,3.9154776511891782,3.029536832812461,0.0,-1.5871492700592704,9.423641592457727,-2.0126593537448447,-0.09255165704778551,0.009940602592336195,0.0,454.6687281541678,453.75951240137726,453.5582519825839,452.8238581374588
1.0800000000000005,4.041532071348935,8.44328271735632,9.929027173167189,3.9100552354382963,3.0299927633159225,0.0,-1.6666287892556222,9.993063477394966,-2.150658226663912,-0.08634177282917901,0.002447251503298525,0.0,474.49012660380777,473.9143149431377,473.16585484961416,473.637444176884
1.1400000000000006,3.9389959764328735,9.061133699139374,9.796760982894913,3.905364727351861,3.029740102502185,0.0,-1.7510496715752566,10.601950889175022,-2.260190693208124,-0.06547785523310234,-0.022869332503986452,0.0,490.1193590805736,488.2339279921614,490.2036481089006,491.74739904797565
